  4 2  6      0  23  Z B T G M  Z  B  G  P  M    1.983    1.814    1.692    2.311    0.603 
  4 2  6      1  24  D W P S G  P  W  W  S  G    1.826    1.583    4.636    3.584    3.064 
  4 2  6      0  25  P J K S V  P  J  K  S  V    2.056    1.207    1.194    0.653    1.439 
  4 2  6      1  26  X C G D W  X  C  G  D  W    2.282    1.812    4.139    1.838    1.476 
  4 2  6      3  27  R X F K T  R  X  F  P  T    1.450    2.215    2.620    2.229    1.809 
  4 2  6     13  28  W R X C P  W  R  X  C  P    1.637    1.611    2.712    1.838    1.548 
  4 2  6      1  29  M W K H G  N  W  K  H  G    2.173    3.036    1.705    1.866    2.576 
  4 2  6     13  30  G L R W J  G  W  R  L  G    2.310    1.906    1.988    1.572    2.187 
  4 2  6     11  31  B H P G N  B  H  P  G  H    1.454    1.934    1.654    1.918    3.225 
  4 2  6      0  32  V P W M G  V  P  W  M  G    2.215    0.886    1.233    0.753    2.831 
  4 2  6      3  33  M X B P D  M  X  P  M  G    1.475    1.317    1.546    1.825    1.788 
  4 2  6     11  34  T G N F H  T  G  N  F  H    1.733    2.725    2.312    2.039    1.801 
  4 2  6      0  35  T V C G N  T  B  C  G  N    1.612    1.461    1.273    1.677    1.155 
  4 2  6      3  36  M C X T K  M  C  X  T  K    1.423    1.840    2.017    1.410    1.332 
  4 2  6     13  37  C X H K Z  C  X  K  F  H    1.906    2.123    3.923    4.327    2.151 
  4 2  6      1  38  T H G J P  T  H  G  J  P    2.175    2.269    1.864    2.056    1.599 
  4 2  6     11  39  Z L F K J  Z  L  H  K  J    1.771    2.570    2.150    3.102    2.590 
  4 2  6      1  40  R X C Z V  R  X  C  Z  V    1.973    1.690    1.694    2.620    1.975 
  4 2  6     13  41  P J V X R  P  J  V  X  R    1.882    2.202    2.136    2.378    2.044 
  4 2  6     11  42  G K V M X  G  K  V  X  R    2.459    1.853    1.635    2.604    1.747 
  4 2  6      1  43  K D V L G  K  D  V  L  G    1.678    2.347    1.719    2.607    2.347 
  4 2  6     11  44  G P Z R D  G  P  Z  R  P    2.552    2.110    3.194    2.367    3.200 
  4 2  6      3  45  C W D P F  C  W  D  P  V    1.556    1.893    1.802    1.520    1.651 
  4 2  6      3  46  D Z S L F  D  Z  S  L  F    1.830    3.211    1.601    1.799    1.570 
  4 2  6      0  47  S D J B M  S  D  J  B  M    1.236    1.384    0.913    2.270    0.793 
  4 2  6      0  48  X K J P F  X  K  J  P  F    2.163    1.198    1.489    1.155    0.992 
  4 2  6     13  49  C Z M T R  C  Z  R  P  Z    2.325    2.458    3.733    3.091    1.795 
  4 2  6      1  50  L P R T J  L  P  R  T  J    1.388    1.735    1.392    1.638    1.598 
  4 2  6     13  51  N Z P V L  N  Z  T  P  L    2.071    2.081    4.692    2.312    1.654 
  4 2  6     11  52  F H M G K  F  H  M  G  K    1.935    2.497    1.774    3.076    2.323 
  4 2  6     13  53  J X G F B  J  X  B  H  F    1.800    2.567    2.833    3.146    1.411 
  4 2  6     13  54  T D L N G  T  D  L  N  G    1.557    2.067    2.260    1.906    2.514 
  4 2  6      0  55  H D S X R  H  D  S  X  R    2.260    0.993    0.859    1.235    0.737 
  4 2  6     13  56  C S K P X  C  S  K  P  X    1.613    1.881    2.379    3.749    1.770 
  4 2  6      0  57  D F L K J  D  F  L  K  J    1.223    1.291    1.010    0.805    1.542 
  4 2  6     11  58  T N R V B  T  N  R  V  B    1.921    2.126    1.411    1.813    1.825 
  4 2  6      3  59  X D G H M  X  D  V  H  M    2.096    2.029    1.748    2.636    1.826 
  4 2  6      0  60  F G L M C  F  G  L  M  C    1.679    1.141    0.939    0.604    1.140 
  5 2  3      0   1  N K W L D  N  K  W  P  D    1.285    0.979    1.326    1.021    0.790 
  5 2  3      0   2  X P L M S  X  P  L  M  S    1.440    0.822    1.181    1.032    0.859 
  5 2  3      0   3  S N X J R  M  S  J  X  P    2.209    1.033    1.386    1.595    0.997 
  5 2  3     13   4  H C X M D  H  C  S  N  D    2.825    2.471    1.789    2.930    5.027 
  5 2  3      1   5  J D W C R  J  D  W  S  D    1.537    2.120    2.084    3.776    2.594 
  5 2  3     13   6  Z L B G R  Z  L  S  C  R    1.469    3.013    4.164    3.588    2.594 
  5 2  3      3   7  H L Z N X  H  L  Z  X  S    2.829    2.311    2.109    3.345    2.205 
  5 2  3     13   8  C R S X Z  C  R  Z  P  S    1.805    2.809    4.490    4.668    2.713 
  5 2  3     13   9  J K X D R  J  K  X  C  S    2.678    2.256    2.189    2.582    2.258 
  5 2  3      0  10  T B K L R  T  B  K  L  S    1.376    1.060    0.956    1.115    0.683 
  5 2  3      1  11  P W J M G  P  W  L  S  P    1.729    2.243    1.639    2.885    2.637 
  5 2  3     11  12  P L Z N F  P  L  Z  C  M    1.954    1.731    2.443    3.052    2.958 
  5 2  3      1  13  V B W T N  V  B  W  T  C    1.872    2.044    2.255    1.736    3.870 
  5 2  3      3  14  R C F B P  R  C  F  B  C    3.147    2.985    1.895    1.883    1.813 
  5 2  3     11  15  S G F M V  S  G  M  G  C    2.046    2.257    1.987    3.280    2.339 
  5 2  3      3  16  R D F W T  R  D  W  T  B    1.566    1.559    1.990    1.804    1.680 
  5 2  3      3  17  T R K M D  T  R  T  M  D    1.672    2.541    2.972    1.895    1.556 
  5 2  3     13  18  F K B R S  F  K  R  T  S    1.567    2.488    3.184    2.623    2.205 
  5 2  3     13  19  W S T R C  W  S  R  T  C    1.633    2.202    2.691    3.076    2.322 
  5 2  3      3  20  K G Z J V  K  G  Z  V  S    1.954    2.285    2.002    2.138    3.254 
  5 2  3     11  21  F D K B J  F  J  K  D  B    1.818    3.549    2.016    2.082    3.131 
  5 2  3     13  22  M F L P R  M  F  L  S  R    1.580    2.636    2.179    2.294    2.231 
  5 2  3      1  23  K W L P S  K  W  L  S  P    2.089    3.036    1.761    2.889    1.776 
  5 2  3      3  24  J Z S W T  J  Z  W  P  T    2.477    2.245    1.962    2.504    1.786 
  5 2  3      1  25  K X L C H  K  X  L  S  R    1.178    2.215    1.747    1.222    1.987 
  5 2  3     13  26  W S V T K  W  X  K  T  S    2.530    2.218    3.337    3.064    2.107 
  5 2  3      1  27  L W N V X  L  W  N  P  C    1.835    2.175    1.668    1.466    2.162 
  5 2  3      1  28  G M L X H  G  M  L  X  N    2.439    1.505    1.100    1.303    1.437 
  5 2  3     13  29  M H N S C  M  H  N  S  P    1.833    3.483    2.421    2.338    2.286 
  5 2  3     11  30  V R J N H  V  J  R  S  N    1.856    3.012    3.079    2.982    1.992 
  5 2  3      0  31  L S P H C  L  S  P  H  C    1.058    0.842    0.673    1.046    0.494 
  5 2  3     11  32  X T Z W F  X  T  Z  C  S    1.766    1.975    1.839    2.192    1.895 
  5 2  3     13  33  Z W H L G  Z  W  H  C  T    2.037    1.975    2.729    2.767    3.536 
  5 2  3      0  34  T H G X F  T  H  G  F  O    1.338    1.290    1.815    1.181    4.464 
  5 2  3      1  35  M J H F D  M  J  H  F  T    3.312    1.946    1.977    2.444    1.570 
  5 2  3      0  36  X W G H P  X  W  H  Q  P    1.321    1.184    1.830    1.567    1.641 
  5 2  3      1  37  B J L W X  B  J  L  S  T    1.524    1.262    1.869    1.301    1.974 
  5 2  3      3  38  X S T P B  X  S  T  P  S    2.076    2.422    1.706    2.169    1.744 
  5 2  3      3  39  F G P V N  F  S  P  S  P    3.571    1.799    2.018    2.378    2.076 
  5 2  3     11  40  X V G S B  X  V  B  T  V    2.962    2.423    1.705    2.434    1.910 
  5 2  3      3  41  G Z K D C  G  Z  K  B  S    1.352    2.539    1.936    1.762    1.843 
  5 2  3      3  42  T G K H B  T  J  K  B  M    1.632    2.705    2.152    1.839    1.938 
  5 2  3     11  43  N L H V R  N  L  H  V  S    2.952    1.668    2.068    1.666    1.826 
  5 2  3      0  44  M R L V T  M  R  F  V  T    2.388    2.688    1.923    1.302    0.913 
  5 2  3      1  45  V R C T P  V  R  C  T  M    2.426    1.437    1.570    1.721    1.884 
  5 2  3      0  46  R K D T P  R  K  D  T  K    1.070    0.887    1.142    0.928    1.289 
  5 2  3      0  47  P Z W R L  P  Z  W  L  F    1.270    1.692    1.194    1.101    0.900 
  5 2  3     13  48  C L Z B V  B  L  Z  Z  R    2.938    2.233    2.446    3.065    2.622 
