"TaskType" "subj" "block" "list" "trialnumber" "length" "serpos" "word" "writtenSP" "outputorder" "TaskTypeKnow"
"Known" 1 4 3 75 15 2 "truly" -1 -1 1
"Known" 1 4 3 75 15 3 "debate" -1 -1 1
"Known" 1 4 3 75 15 4 "swiftly" -1 -1 1
"Known" 1 4 3 75 15 5 "retreat" -1 -1 1
"Known" 1 4 3 75 15 6 "button" -1 -1 1
"Known" 1 4 3 75 15 7 "kindly" -1 -1 1
"Known" 1 4 3 75 15 8 "water" -1 -1 1
"Known" 1 4 3 75 15 9 "modest" -1 -1 1
"Known" 1 4 3 75 15 10 "endless" -1 -1 1
"Known" 1 4 3 75 15 11 "inspire" -1 -1 1
"Known" 1 4 3 75 15 12 "prospect" -1 -1 1
"Known" 1 4 3 75 15 13 "blessing" -1 -1 1
"Known" 1 4 3 75 15 14 "perish" 14 1 1
"Known" 1 4 3 75 15 15 "failure" 15 2 1
"Known" 1 4 4 76 15 1 "sometime" -1 -1 1
"Known" 1 4 4 76 15 2 "disguise" -1 -1 1
"Known" 1 4 4 76 15 3 "rifle" -1 -1 1
"Known" 1 4 4 76 15 4 "healthy" -1 -1 1
"Known" 1 4 4 76 15 5 "swallow" -1 -1 1
"Known" 1 4 4 76 15 6 "mountain" -1 -1 1
"Known" 1 4 4 76 15 7 "normal" -1 -1 1
"Known" 1 4 4 76 15 8 "present" -1 -1 1
"Known" 1 4 4 76 15 9 "collect" -1 -1 1
"Known" 1 4 4 76 15 10 "double" -1 -1 1
"Known" 1 4 4 76 15 11 "window" 12 1 1
"Known" 1 4 4 76 15 12 "grateful" -1 -1 1
