"rep(1, length(dats[, 1]))" "Sess" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
1 556 3 18 5 6 0 0 1 0.517 TRUE
1 556 3 19 1 2 0 0 1 0.584 TRUE
1 556 3 20 4 5 0 0 1 0.504 TRUE
1 556 3 21 5 4 1 1 1 0.534 TRUE
1 556 3 22 5 6 0 0 1 0.781 TRUE
1 556 3 23 2 3 0 0 1 0.442 TRUE
1 556 3 24 2 2 1 1 1 0.512 TRUE
1 556 3 25 3 3 1 1 1 0.435 TRUE
1 556 3 26 4 3 1 1 1 0.476 TRUE
1 556 3 27 3 4 0 0 1 0.485 TRUE
1 556 3 28 4 5 0 0 1 0.797 TRUE
1 556 3 29 3 2 1 1 1 0.635 TRUE
1 556 3 30 5 6 0 0 1 0.726 TRUE
1 556 4 1 5 6 0 0 1 0.544 TRUE
1 556 4 2 4 5 0 0 1 0.64 TRUE
1 556 4 3 3 4 0 0 1 0.481 TRUE
1 556 4 4 4 3 1 1 1 0.531 TRUE
1 556 4 5 4 2 1 1 1 1.264 FALSE
1 556 4 6 2 3 0 0 1 0.45 TRUE
1 556 4 7 1 1 1 1 1 0.384 TRUE
1 556 4 8 1 2 0 0 1 0.447 TRUE
1 556 4 9 5 2 1 1 1 0.638 TRUE
1 556 4 10 3 2 1 1 1 0.69 TRUE
1 556 4 11 3 1 1 1 1 0.56 TRUE
1 556 4 12 5 5 1 1 1 0.49 TRUE
1 556 4 13 5 1 1 1 1 0.511 TRUE
1 556 4 14 4 1 1 1 1 0.492 TRUE
1 556 4 15 4 5 0 0 1 0.595 TRUE
1 556 4 16 5 6 0 0 1 0.8 TRUE
1 556 4 17 5 6 0 0 1 0.622 TRUE
1 556 4 18 5 4 1 1 1 0.628 TRUE
1 556 4 19 2 2 1 1 1 0.455 TRUE
1 556 4 20 2 3 0 0 1 0.43 TRUE
1 556 4 21 4 5 0 0 1 0.739 TRUE
1 556 4 22 4 4 1 1 1 0.44 TRUE
1 556 4 23 5 3 1 1 1 0.707 TRUE
1 556 4 24 5 6 0 0 1 0.64 TRUE
1 556 4 25 3 4 0 0 1 0.528 TRUE
1 556 4 26 4 5 0 0 1 0.672 TRUE
1 556 4 27 3 4 0 0 1 0.614 TRUE
1 556 4 28 3 3 1 1 1 0.529 TRUE
1 556 4 29 5 6 0 0 1 0.493 TRUE
1 556 4 30 2 1 1 1 1 0.491 TRUE
1 556 5 1 3 1 1 1 1 0.42 TRUE
1 556 5 2 3 4 0 0 1 0.479 TRUE
1 556 5 3 5 6 0 0 1 0.494 TRUE
1 556 5 4 4 3 1 1 1 0.54 TRUE
1 556 5 5 5 4 1 1 1 0.484 TRUE
1 556 5 6 5 6 0 0 1 0.496 TRUE
1 556 5 7 5 6 1 0 0 0.58 TRUE
1 556 5 8 5 5 1 1 1 0.446 TRUE
1 556 5 9 5 3 1 1 1 0.436 TRUE
1 556 5 10 4 4 1 1 1 0.457 TRUE
1 556 5 11 2 1 1 1 1 0.42 TRUE
1 556 5 12 5 1 1 1 1 0.67 TRUE
1 556 5 13 3 4 0 0 1 0.627 TRUE
1 556 5 14 3 3 1 1 1 0.413 TRUE
1 556 5 15 4 5 0 0 1 0.632 TRUE
1 556 5 16 1 1 1 1 1 0.372 TRUE
