"rep(2, length(dats[, 1]))" "dat[, 1]" "Blk" "Trl" "SetSize" "Lag" "keyIdx" "CorrResp" "ACC" "RT" "use"
2 155 2 30 4 5 0 0 1 4.798 FALSE
2 155 3 1 4 3 1 1 1 0.725 TRUE
2 155 3 2 3 2 1 1 1 0.554 TRUE
2 155 3 3 4 5 0 0 1 0.523 TRUE
2 155 3 4 2 2 1 1 1 0.501 TRUE
2 155 3 5 4 5 0 0 1 0.582 TRUE
2 155 3 6 1 2 0 0 1 0.503 TRUE
2 155 3 7 4 2 1 1 1 0.702 TRUE
2 155 3 8 3 3 1 1 1 0.49 TRUE
2 155 3 9 5 4 1 1 1 0.532 TRUE
2 155 3 10 5 1 1 1 1 0.799 TRUE
2 155 3 11 3 4 0 0 1 0.571 TRUE
2 155 3 12 5 6 0 0 1 0.594 TRUE
2 155 3 13 5 6 0 0 1 0.759 TRUE
2 155 3 14 3 4 0 0 1 0.542 TRUE
2 155 3 15 3 4 0 0 1 0.592 TRUE
2 155 3 16 4 4 1 1 1 0.575 TRUE
2 155 3 17 5 5 1 1 1 0.673 TRUE
2 155 3 18 2 3 0 0 1 0.525 TRUE
2 155 3 19 2 1 1 1 1 0.672 TRUE
2 155 3 20 1 1 1 1 1 0.621 TRUE
2 155 3 21 4 5 0 0 1 0.624 TRUE
2 155 3 22 4 5 0 0 1 0.546 TRUE
2 155 3 23 5 6 0 0 1 0.644 TRUE
2 155 3 24 5 3 1 1 1 0.626 TRUE
2 155 3 25 5 2 1 1 1 0.783 TRUE
2 155 3 26 4 1 1 1 1 0.564 TRUE
2 155 3 27 3 1 1 1 1 0.878 TRUE
2 155 3 28 5 6 0 0 1 0.675 TRUE
2 155 3 29 5 6 0 0 1 0.671 TRUE
2 155 3 30 2 3 0 0 1 0.606 TRUE
2 155 4 1 4 5 0 0 1 1.524 TRUE
2 155 4 2 1 2 0 0 1 1.196 FALSE
2 155 4 3 5 5 1 1 1 0.686 TRUE
2 155 4 4 4 1 1 1 1 0.559 TRUE
2 155 4 5 4 5 0 0 1 0.651 TRUE
2 155 4 6 5 6 0 0 1 0.585 TRUE
2 155 4 7 3 3 1 1 1 0.573 TRUE
2 155 4 8 2 3 0 0 1 0.453 TRUE
2 155 4 9 2 3 0 0 1 0.588 TRUE
2 155 4 10 3 4 0 0 1 0.524 TRUE
2 155 4 11 3 1 1 1 1 0.588 TRUE
2 155 4 12 4 5 0 0 1 0.503 TRUE
2 155 4 13 3 4 0 0 1 0.802 TRUE
2 155 4 14 5 6 0 0 1 0.535 TRUE
2 155 4 15 5 3 1 1 1 0.684 TRUE
2 155 4 16 5 6 0 0 1 0.589 TRUE
2 155 4 17 4 3 1 1 1 0.609 TRUE
2 155 4 18 5 4 1 1 1 0.618 TRUE
2 155 4 19 5 1 1 1 1 0.883 TRUE
2 155 4 20 4 4 1 1 1 0.576 TRUE
2 155 4 21 1 1 1 1 1 0.628 TRUE
2 155 4 22 5 6 0 0 1 0.645 TRUE
2 155 4 23 3 4 0 0 1 0.596 TRUE
2 155 4 24 5 6 0 0 1 0.766 TRUE
2 155 4 25 3 2 1 1 1 0.637 TRUE
2 155 4 26 2 1 1 1 1 0.512 TRUE
2 155 4 27 2 2 1 1 1 0.556 TRUE
2 155 4 28 5 2 1 1 1 0.552 TRUE
2 155 4 29 4 2 1 1 1 0.652 TRUE
2 155 4 30 4 5 0 0 1 0.76 TRUE
2 155 5 1 5 6 0 0 1 0.657 TRUE
2 155 5 2 5 6 0 0 1 0.615 TRUE
2 155 5 3 2 3 0 0 1 0.676 TRUE
2 155 5 4 3 4 0 0 1 0.492 TRUE
2 155 5 5 5 5 1 1 1 1.007 TRUE
2 155 5 6 2 3 0 0 1 0.613 TRUE
2 155 5 7 3 3 1 1 1 0.45 TRUE
2 155 5 8 4 5 0 0 1 0.689 TRUE
2 155 5 9 5 4 1 1 1 0.622 TRUE
2 155 5 10 5 3 1 1 1 0.755 TRUE
2 155 5 11 3 4 0 0 1 0.43 TRUE
2 155 5 12 4 2 1 1 1 0.58 TRUE
2 155 5 13 5 2 0 1 0 0.579 TRUE
2 155 5 14 1 2 0 0 1 0.726 TRUE
2 155 5 15 4 3 1 1 1 0.529 TRUE
2 155 5 16 3 4 0 0 1 0.516 TRUE
2 155 5 17 4 5 0 0 1 1.106 TRUE
2 155 5 18 5 6 0 0 1 1.651 TRUE
2 155 5 19 5 6 0 0 1 3.164 FALSE
2 155 5 20 4 5 0 0 1 0.574 TRUE
2 155 5 21 2 1 1 1 1 0.616 TRUE
2 155 5 22 4 1 1 1 1 0.603 TRUE
2 155 5 23 3 1 1 1 1 0.553 TRUE
2 155 5 24 3 2 1 1 1 0.635 TRUE
2 155 5 25 4 5 0 0 1 0.715 TRUE
2 155 5 26 2 2 1 1 1 0.591 TRUE
2 155 5 27 5 1 1 1 1 0.471 TRUE
2 155 5 28 1 1 1 1 1 0.473 TRUE
2 155 5 29 5 6 0 0 1 0.606 TRUE
2 155 5 30 4 4 1 1 1 0.483 TRUE
2 155 6 1 4 5 0 0 1 0.625 TRUE
2 155 6 2 4 5 0 0 1 0.563 TRUE
2 155 6 3 5 6 0 0 1 0.556 TRUE
2 155 6 4 3 4 0 0 1 0.624 TRUE
2 155 6 5 2 3 0 0 1 0.575 TRUE
2 155 6 6 5 4 1 1 1 0.667 TRUE
2 155 6 7 2 2 1 1 1 0.528 TRUE
2 155 6 8 5 2 1 1 1 0.487 TRUE
2 155 6 9 2 3 0 0 1 0.487 TRUE
2 155 6 10 4 2 1 1 1 0.662 TRUE
2 155 6 11 1 1 1 1 1 0.468 TRUE
2 155 6 12 5 6 0 0 1 0.588 TRUE
2 155 6 13 4 3 1 1 1 0.626 TRUE
2 155 6 14 5 5 1 1 1 0.538 TRUE
2 155 6 15 4 1 1 1 1 0.565 TRUE
2 155 6 16 5 3 1 1 1 0.616 TRUE
2 155 6 17 4 5 0 0 1 1.939 FALSE
2 155 6 18 5 6 0 0 1 0.649 TRUE
2 155 6 19 4 5 0 0 1 0.656 TRUE
2 155 6 20 2 1 1 1 1 0.446 TRUE
2 155 6 21 3 4 0 0 1 0.547 TRUE
2 155 6 22 5 6 0 0 1 0.637 TRUE
2 155 6 23 3 1 1 1 1 0.565 TRUE
2 155 6 24 1 2 0 0 1 0.51 TRUE
2 155 6 25 5 1 1 1 1 0.841 TRUE
2 155 6 26 3 2 1 1 1 0.523 TRUE
2 155 6 27 3 3 1 1 1 0.489 TRUE
2 155 6 28 5 6 0 0 1 0.663 TRUE
2 155 6 29 4 4 1 1 1 0.482 TRUE
2 155 6 30 3 4 0 0 1 0.576 TRUE
2 155 7 1 5 3 0 1 0 3.556 FALSE
2 155 7 2 4 5 0 0 1 1.027 TRUE
2 155 7 3 2 2 1 1 1 0.557 TRUE
2 155 7 4 5 2 1 1 1 0.628 TRUE
2 155 7 5 1 1 1 1 1 0.45 TRUE
2 155 7 6 4 4 1 1 1 0.513 TRUE
2 155 7 7 3 4 0 0 1 0.549 TRUE
2 155 7 8 2 1 1 1 1 0.614 TRUE
2 155 7 9 3 3 1 1 1 0.461 TRUE
2 155 7 10 4 2 1 1 1 0.808 TRUE
2 155 7 11 5 6 0 0 1 0.636 TRUE
2 155 7 12 1 2 0 0 1 0.563 TRUE
2 155 7 13 5 6 0 0 1 0.902 TRUE
2 155 7 14 5 5 1 1 1 0.541 TRUE
2 155 7 15 3 4 0 0 1 0.545 TRUE
2 155 7 16 4 5 0 0 1 1.282 TRUE
2 155 7 17 5 6 0 0 1 0.805 TRUE
2 155 7 18 4 3 1 1 1 0.928 TRUE
2 155 7 19 3 4 0 0 1 0.556 TRUE
2 155 7 20 4 1 1 1 1 0.559 TRUE
2 155 7 21 4 5 0 0 1 0.616 TRUE
2 155 7 22 3 2 1 1 1 0.565 TRUE
2 155 7 23 5 6 0 0 1 0.598 TRUE
2 155 7 24 3 1 1 1 1 0.517 TRUE
