subj_idx,CSI,size,probe,rt,correct,stim,response
15,400,4,int,1.5956,1,1,0
2,No,2,pos,1.5957,0,2,0
18,400,6,pos,1.5958,1,2,1
21,2000,8,neg,1.5959,1,1,0
2,No,6,pos,1.596,1,2,1
2,400,2,pos,1.596,1,2,1
2,No,2,int,1.596,1,1,0
23,400,4,int,1.5961,1,1,0
2,No,6,neg,1.5962,1,1,0
15,2000,2,int,1.5962,1,1,0
16,2000,2,int,1.5962,1,1,0
21,2000,8,neg,1.5962,1,1,0
17,400,8,pos,1.5963,1,2,1
10,No,8,pos,1.5963,1,2,1
17,400,6,int,1.5964,1,1,0
1,2000,2,int,1.5968,1,1,0
7,100,8,pos,1.5994,1,2,1
24,100,4,pos,1.5996,1,2,1
2,100,4,pos,1.5998,1,2,1
21,100,2,pos,1.5999,1,2,1
16,100,8,pos,1.6007,1,2,1
24,No,8,pos,1.6008,0,2,0
12,No,6,int,1.6009,1,1,0
18,400,8,int,1.6019,1,1,0
10,2000,4,pos,1.6021,0,2,0
22,400,8,pos,1.6026,1,2,1
5,No,2,pos,1.6028,1,2,1
24,No,4,pos,1.603,1,2,1
20,400,4,int,1.6031,1,1,0
18,400,6,int,1.6031,0,1,1
15,No,4,pos,1.6032,1,2,1
9,No,6,neg,1.6034,1,1,0
2,No,8,neg,1.6035,1,1,0
8,400,4,pos,1.6035,1,2,1
10,No,2,int,1.6036,1,1,0
4,2000,6,int,1.6037,0,1,1
9,No,4,int,1.6037,1,1,0
16,No,8,pos,1.6037,1,2,1
4,No,6,neg,1.6038,1,1,0
17,No,8,neg,1.6038,1,1,0
12,No,8,neg,1.6039,1,1,0
19,400,8,int,1.604,0,1,1
19,400,8,pos,1.604,1,2,1
4,No,8,int,1.604,1,1,0
18,2000,8,pos,1.604,0,2,0
21,2000,8,int,1.6041,1,1,0
2,No,8,int,1.6042,1,1,0
4,No,6,int,1.6042,0,1,1
10,2000,2,int,1.6043,1,1,0
16,2000,6,int,1.6043,1,1,0
24,400,4,int,1.6044,0,1,1
8,No,4,pos,1.6067,1,2,1
14,100,2,int,1.6068,1,1,0
20,100,6,pos,1.6071,1,2,1
15,100,4,neg,1.6081,1,1,0
13,100,8,pos,1.6082,1,2,1
24,No,6,pos,1.6093,1,2,1
12,No,4,neg,1.6104,1,1,0
4,2000,4,neg,1.6108,1,1,0
18,400,8,pos,1.611,0,2,0
9,2000,2,pos,1.6112,1,2,1
17,No,4,neg,1.6114,1,1,0
3,No,4,pos,1.6116,1,2,1
2,No,4,pos,1.6118,1,2,1
2,400,8,neg,1.6118,1,1,0
20,2000,4,pos,1.612,1,2,1
18,400,6,neg,1.6122,1,1,0
17,400,4,pos,1.6122,1,2,1
11,400,4,pos,1.6123,1,2,1
9,400,6,pos,1.6124,1,2,1
15,2000,6,pos,1.6126,0,2,0
1,No,8,pos,1.6128,1,2,1
4,100,6,int,1.6147,1,1,0
16,100,2,neg,1.6161,1,1,0
2,No,4,neg,1.6171,1,1,0
10,2000,6,int,1.6171,1,1,0
5,400,2,int,1.6175,1,1,0
17,400,4,int,1.6175,1,1,0
2,No,2,int,1.6176,1,1,0
9,400,2,int,1.6183,1,1,0
1,No,8,pos,1.6184,1,2,1
5,2000,2,pos,1.6187,1,2,1
20,400,8,pos,1.6193,1,2,1
4,400,2,pos,1.6193,1,2,1
18,400,8,pos,1.6194,1,2,1
21,No,8,int,1.6195,1,1,0
15,2000,4,int,1.6197,1,1,0
20,2000,8,pos,1.6197,0,2,0
18,400,8,int,1.6197,1,1,0
17,2000,6,pos,1.6197,0,2,0
2,No,2,int,1.6198,1,1,0
18,No,4,pos,1.6198,1,2,1
9,No,8,pos,1.6198,1,2,1
10,400,8,pos,1.6199,1,2,1
11,400,4,int,1.6203,1,1,0
13,2000,8,int,1.6204,1,1,0
21,2000,8,int,1.6204,1,1,0
11,100,8,pos,1.6229,1,2,1
20,100,4,int,1.6236,1,1,0
16,100,2,pos,1.6239,1,2,1
2,No,4,pos,1.6243,1,2,1
5,400,4,int,1.6244,1,1,0
2,100,4,pos,1.6247,1,2,1
17,2000,2,pos,1.6253,1,2,1
20,2000,6,pos,1.6255,1,2,1
12,No,2,int,1.6259,1,1,0
1,100,4,pos,1.6261,0,2,0
