2 1 2 3 4 5 6 7  3298  415  340  1393  3964  829  415 0 0 0 0  827  447  673  560 
2 1 2 3 4 5 6 7  850  377  866  340  1054  279  2071 0 0 0 0  2860  560  673  559 
2 1 2 3 4 5 6 7  789  904  427  603  385  603  152 0 0 0 0  864  409  560  559 
2 3 2 1 4 6 7 5  737  1883  7154  265  1732  415  452 0 0 0 0  864  463  409  597 
2 1 2 3 4 5 6 7  737  377  565  265  1667  904  866 0 0 0 0  2672  486  371  672 
2 1 6 3 4 2 5 7  4239  866  651  265  2786  2270  1178 0 0 0 0  1466  635  597  522 
2 3 2 7 4 5 1 6  850  377  1055  829  5322  538  3991 0 0 1 0  1522  447  484  635 
2 1 2 3 4 5 6 7  724  265  452  190  1280  265  340 0 0 0 0  902  409  484  409 
2 1 2 3 4 5 6 7  699  452  340  265  1281  302  190 0 1 0 0  525  484  652  710 
2 1 2 3 4 5 6 7  736  265  2260  340  1017  1055  265 0 0 0 0  827  522  484  522 
2 1 2 3 4 5 6 7  736  265  527  190  1243  452  238 0 0 0 0  902  710  1351  635 
2 1 2 3 4 5 6 7  1602  678  716  340  2034  640  227 0 0 0 0  865  560  522  748 
2 1 2 3 4 5 6 7  663  640  452  238  979  795  565 0 0 0 0  638  484  522  371 
2 1 2 3 4 5 6 7  925  640  467  1582  1544  415  640 0 0 0 0  752  522  635  1350 
2 1 2 3 4 5 6 7  774  275  538  678  1544  265  227 0 0 0 0  789  635  522  334 
2 1 2 3 4 5 6 7  699  302  452  1582  866  415  340 0 0 0 0  752  522  449  447 
2 1 2 6 4 5 3 7  849  265  9903  490  1055  227  640 0 0 0 0  1108  371  447  447 
2 1 2 3 4 5 6 7  736  527  829  716  340  227  190 0 0 0 0  978  522  673  447 
2 1 2 3 4 5 6 7  4163  716  942  452  1393  1243  1130 0 0 0 0  1580  409  447  521 
2 1 2 3 5 4 6 7  661  377  11221  302  1253  265  227 0 0 0 0  451  484  484  501 
2 3 2 3 4 6 1 7  849  415  7945  1146  1469  1243  603 0 0 0 0  2107  597  484  560 
2 1 2 3 4 5 6 7  774  302  527  340  678  377  265 0 0 0 0  714  484  560  597 
2 1 2 3 4 5 6 7  774  265  1431  829  2071  904  340 0 0 0 0  864  522  522  597 
2 1 2 3 4 5 6 7  925  377  603  227  791  527  227 0 0 0 0  752  522  522  597 
2 1 2 3 4 5 6 7  736  302  377  452  979  904  791 1 0 0 0  978  1351  710  484 
2 1 2 3 4 5 2 7  661  302  2824  265  415  5046  452 0 0 0 0  1278  446  484  409 
2 1 2 3 4 5 6 7  1000  603  1506  1582  603  1402  678 0 0 0 0  1635  559  673  484 
2 1 2 3 4 5 6 7  812  265  462  227  753  377  265 0 0 0 0  411  560  597  710 
2 1 3 2 4 6 5 7  811  527  3163  3088  1887  1055  3238 0 0 0 0  789  1652  522  635 
2 3 2 1 4 5 6 7  1339  678  377  415  1168  678  229 0 0 0 0  1016  748  974  560 
2 1 2 3 4 7 6 7  699  425  565  527  2071  730  3502 0 0 0 0  1354  446  447  446 
2 1 2 3 4 6 5 7  736  452  2109  452  11861  716  678 0 0 0 0  4139  522  409  371 
2 1 2 3 4 5 6 7  661  340  302  392  678  340  1130 0 0 0 0  751  446  522  597 
2 1 2 3 4 5 6 7  623  452  452  227  1356  227  716 0 0 0 0  902  484  484  560 
2 1 2 3 4 5 6 7  774  352  415  302  265  265  265 0 0 0 0  1090  936  710  1689 
2 1 2 3 4 5 6 7  774  227  866  490  6626  152  265 0 0 0 0  2445  560  559  409 
2 1 4 3 4 5 6 7  3183  377  1996  227  1130  2410  415 0 0 0 0  730  447  409  785 
2 1 2 3 4 5 6 7  701  265  340  565  527  979  302 0 0 0 0  1089  936  1388  409 
2 1 2 3 4 5 6 7  698  352  490  415  265  1054  3361 0 0 0 0  675  484  672  522 
2 1 2 3 4 5 6 7  828  340  302  377  1770  839  227 0 0 0 0  599  447  446  446 
2 1 2 3 4 6 5 7  774  452  265  942  1054  602  119 0 0 0 0  750  635  936  484 
2 1 2 3 4 5 6 7  585  265  377  340  565  2146  302 0 0 0 0  975  447  484  860 
