id,group,sex,age,session,memo,con,nblock,n,example,trial,outnr,trialnr,out_allnr,matchkey,pressedkey,corr,mem_dig,prb_dig,out_pos,Pre_RT,RT,pos,neg,RT_r,RTr_mean,sd_RTr,cut,Exp
1,1,2,22,1,1,4,2,4,0,15,1,15,57,2,2,1,8,2,2,9408,3692,1,0, ,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,15,2,15,58,2,2,1,2,4,3, ,746,1,0,746,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,15,3,15,59,2,2,1,4,3,4, ,435,1,0,435,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,2,4,0,15,4,15,60,2,1,1,3,1,1, ,521,0,2,521,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,1,3,5,0,1,1,12,1,2,2,1,7,7,1,1162,853,1,0,853,757.6,408.877053579459,1984.23116073838,4
1,1,2,22,1,1,1,3,5,0,1,2,12,2,2,1,1,5,4,2, ,462,0,2,462,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,3,5,0,1,3,12,3,2,1,1,1,8,3, ,547,0,2,547,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,3,5,0,1,4,12,4,2,1,1,6,4,4, ,671,0,2,671,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,1,3,5,0,1,5,12,5,2,1,1,2,7,5, ,513,0,1,513,1064.38888888889,815.009322266177,3509.41685568742,4
1,1,2,22,1,1,4,3,5,0,2,1,12,6,2,1,1,2,5,2,486,2801,0,2,2801,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,3,5,0,2,2,12,7,2,2,1,4,8,4, ,1349,1,0,1349,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,2,3,12,8,2,2,1,7,9,5, ,552,1,0,552,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,2,4,12,9,2,2,1,8,7,3, ,1647,1,0,1647,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,2,5,12,10,2,1,1,9,5,1, ,825,0,2,825,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,3,3,5,0,3,1,12,11,2,2,1,9,2,5,461,872,1,0,872,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,3,2,12,12,2,2,1,4,5,4, ,1735,1,0,1735,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,3,3,12,13,2,2,1,3,3,3, ,443,1,0,443,885.122222222222,494.309888423,2368.05188749122,4
1,1,2,22,1,1,3,3,5,0,3,4,12,14,2,1,1,5,5,2, ,1046,0,1,1046,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,3,3,5,0,3,5,12,15,2,1,1,2,8,1, ,658,0,2,658,1364.65517241379,1236.10779641683,5072.97856166428,4
1,1,2,22,1,1,4,3,5,0,4,1,12,16,2,2,1,1,9,4,299,1649,1,0,1649,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,4,2,12,17,2,1,1,6,9,5, ,1608,0,1,1608,1230,714.76920941467,3374.30762824401,4
1,1,2,22,1,1,4,3,5,0,4,3,12,18,2,2,1,8,1,1, ,1239,1,0,1239,954.033333333333,652.432517497128,2911.33088582472,4
1,1,2,22,1,1,4,3,5,0,4,4,12,19,2,1,1,9,6,3, ,1549,0,1,1549,1230,714.76920941467,3374.30762824401,4
